availability,time
0.346840328027014,2009-09-29T01:49:01Z
0.35947712418300654,2009-09-29T12:11:10Z
0.3218419728233518,2009-09-29T12:22:10Z
0.35508182601205857,2009-09-29T12:37:04Z
0.5270561217166643,2009-09-30T07:58:17Z
0.6206102475532528,2009-09-30T08:30:47Z
0.6647334147334147,2009-09-30T08:54:59Z
0.6781597968353194,2009-09-30T09:08:34Z
0.7534051788654393,2009-09-30T10:06:28Z
0.812672606951175,2009-09-30T11:58:42Z
0.8078725398313027,2009-09-30T12:38:24Z
0.8243200577330747,2009-09-30T13:14:30Z
0.8485025281991443,2009-09-30T14:19:04Z
0.8573782497253754,2009-09-30T14:49:14Z
0.885518619757223,2009-09-30T16:44:10Z
0.9070161617608441,2009-09-30T18:58:35Z
0.9166167151909573,2009-09-30T20:24:48Z
0.9170959090715594,2009-09-30T20:33:43Z
0.9286630036630037,2009-09-30T22:44:26Z
0.9251667915373363,2009-10-02T06:26:46Z
0.9357019143816195,2009-10-02T09:02:58Z
0.9317294694795036,2009-10-02T09:22:56Z
0.934083004550266,2009-10-02T11:47:22Z
0.9313860159448395,2009-10-02T12:27:50Z
0.9316996662064158,2009-10-02T12:39:11Z
0.9330010782947163,2009-10-02T13:07:10Z
0.9333106454272961,2009-10-02T13:18:50Z
0.9299887099495192,2009-10-02T14:08:27Z
0.9293254143216536,2009-10-08T23:03:58Z
0.9163541311512672,2009-10-08T23:41:55Z
0.9099337417801125,2009-10-09T23:52:54Z
0.9019400004930116,2009-10-10T00:18:28Z
0.899700009835743,2009-10-11T23:57:14Z
0.8954504295049068,2009-10-12T23:57:24Z
0.8929210542333679,2009-10-13T00:07:32Z
0.8903144896777928,2011-05-28T15:02:38Z
0.8881938262396843,2011-05-29T00:39:40Z
0.8719898605830165,2011-05-29T01:31:16Z
0.8716956728914705,2011-05-29T02:12:42Z
0.8716956728914705,2011-05-29T02:47:27Z
0.8622247691256529,2011-05-29T09:09:48Z
0.8516957251162692,2011-05-29T11:06:07Z
0.8391537532496776,2011-05-29T23:27:48Z
0.8337652202623338,2011-05-30T13:59:50Z
0.8215030307710127,2011-05-30T23:37:23Z
0.8180579378692586,2011-05-31T07:03:50Z
0.8046051594842369,2011-05-31T23:16:57Z
0.7997541207540297,2011-06-18T03:51:02Z
0.7979354330849532,2011-06-18T04:27:48Z
0.7854465499181953,2011-06-18T11:25:11Z
0.785450264454082,2011-06-18T11:28:21Z
0.7687871762929719,2011-06-21T00:08:44Z
0.7705971003280062,2011-06-21T11:34:48Z
0.7708943691445864,2011-06-21T11:40:46Z
0.7662105469515781,2011-06-21T23:37:44Z
0.7655092935066149,2011-06-22T11:56:50Z
0.7607591635085996,2011-06-22T14:29:58Z
0.7609243229186017,2011-06-23T23:54:35Z
0.757165936853494,2011-06-26T03:27:22Z
0.7583442455987196,2011-06-26T03:47:04Z
0.7588704994192799,2011-06-26T03:56:54Z
0.7579490882830836,2011-06-26T04:21:39Z
0.7493423391397085,2011-06-26T12:06:07Z
0.7400629330133192,2011-06-26T22:53:35Z
0.7343634014241333,2011-06-27T13:43:38Z
0.7286681624591904,2011-06-27T23:36:38Z
0.720186731731831,2011-06-28T11:54:23Z
0.716254851228978,2011-06-28T23:32:41Z
0.7149507366898671,2011-06-29T01:43:53Z
0.7148292144635204,2011-06-29T11:59:54Z
0.7122300783489395,2011-06-29T14:31:46Z
0.7122002749070916,2011-06-29T14:37:55Z
0.706559877010055,2011-06-30T23:57:33Z
0.7072027776766094,2011-07-04T11:28:12Z
0.7006230808216319,2011-07-04T23:25:37Z
0.6949732808738035,2011-07-05T11:36:28Z
0.6924122427210635,2011-07-05T23:45:37Z
0.6942498332582758,2011-07-06T00:06:35Z
0.6942498332582758,2011-07-06T00:12:40Z
0.6948430263651983,2011-07-06T00:22:08Z
0.6952054599905666,2011-07-06T00:28:38Z
0.6970184833694866,2011-07-06T00:53:44Z
0.6978173664165146,2011-07-06T01:09:42Z
0.6982780443624377,2011-07-06T01:18:08Z
0.702678551849659,2011-07-06T02:44:32Z
0.7023702321113785,2011-07-06T11:53:37Z
0.6995428177093442,2011-07-06T14:08:38Z
0.6968609960935421,2011-07-07T23:25:38Z
0.6966143231275703,2011-07-08T12:06:44Z
0.6965683986384782,2011-07-08T12:20:32Z
0.6933173169425334,2011-07-10T00:06:18Z
0.6922789403464691,2011-07-10T10:16:24Z
0.6928875304613605,2011-07-10T10:43:23Z
0.6919192179456128,2011-07-10T11:37:33Z
0.69155894003132,2011-07-10T12:31:59Z
0.687917570609126,2011-07-10T15:12:17Z
0.6854371648868923,2011-07-10T23:26:54Z
0.6837483578462845,2011-07-11T13:55:17Z
0.6822735223829116,2011-07-11T14:23:56Z
0.6811704994653597,2011-07-12T00:00:14Z
0.6795373493975904,2011-07-12T11:10:01Z
0.681129968414948,2011-07-12T11:38:39Z
0.6810138371474188,2011-07-12T12:17:27Z
0.6817065422510502,2011-07-12T12:28:28Z
0.6813793820376032,2011-07-12T12:52:22Z
0.6801452727401364,2011-07-12T13:10:49Z
0.6784875760470139,2011-07-12T22:57:06Z
0.6785743990684522,2011-07-13T02:35:40Z
0.6783385822421129,2011-07-13T11:46:22Z
0.6788267035501908,2011-07-13T14:23:10Z
0.6784130953734228,2011-07-13T14:29:11Z
0.6808142361963053,2011-07-14T11:26:28Z
0.6811115568034942,2011-07-14T11:33:14Z
0.6800212704672856,2011-07-14T12:44:58Z
0.6799968106877398,2011-07-14T12:50:41Z
0.6781218684622281,2011-07-16T00:55:34Z
0.6781753569021506,2011-07-16T06:48:38Z
0.6777156252596775,2011-07-16T08:57:39Z
0.6773815019176262,2011-07-16T09:54:22Z
0.674848279935289,2011-07-17T22:58:01Z
0.6736979597375775,2011-07-19T14:17:52Z
0.6727507569822347,2011-07-19T14:26:37Z
0.6722617005635874,2011-07-20T11:54:51Z
0.6677908301772967,2011-07-20T14:21:31Z
0.6718852408334879,2011-07-21T01:16:03Z
0.6662446292333077,2011-07-21T14:08:32Z
0.6628219743840446,2011-07-21T22:50:27Z
0.6582420770179128,2011-07-22T15:38:27Z
